"","T Cells","NK","Myeloid","B Cells","Endothelial Cells","Fibroblasts","Mast Cells","Cancer Cells","V9"
"TCGA.DD.AACP.01A",0,0,0,7.20190819529467e-06,0.0791296328648616,0.0100601134399859,7.27468664971056e-05,0.808572942994725,0.102157361925735
"TCGA.G3.A7M5.01A",0,0,0,0,0.0113475309411042,0.00421529169974929,0,0.984437177359146,0
"TCGA.DD.A4NS.01A",0,0,0,0,0.198411123697189,0.0865645730685503,1.40735793594822e-06,0.625927239262919,0.0890956566134057
"TCGA.WX.AA46.01A",0,0,0,0,0.0363064347239812,0.00872639473732635,2.43622406839691e-06,0.954964734314624,0
"TCGA.O8.A75V.01A",0,0,0,0,0.0207782672331062,0.0104751091697967,0,0.968746623597097,0
"TCGA.DD.AACH.01A",0,0,0,0,0.263327774414989,0.0261592686448863,0,0.684549333416107,0.0259636235240183
"TCGA.DD.AAVQ.01A",0,0,0.0207623766712502,0.00583457810886488,0.0802360390053224,0.01874552086134,0,0.807442928833457,0.0669785565197655
"TCGA.RC.A7S9.01A",0,0,0,0,0.030973418160283,0.000786649560297821,0,0.964651467387278,0.00358846489214064
"TCGA.BC.A8YO.01A",0,0,0.00994066910051373,0,0.185743457318298,0.00491199557761986,0,0.756576613483416,0.0428272645201518
"TCGA.DD.A4NR.01A",0,0,0.0314796367950011,0,0.123877956969041,0.0185735945941593,0,0.826068811641798,0
"TCGA.CC.A8HU.01A",0,0,0,0,0.0446175513522782,0.0202445647689802,9.22937685051874e-05,0.874964692534056,0.0600808975761805
"TCGA.DD.AAVS.01A",0,0,0,0,0.0842268428184124,0.0472379323893324,2.43086886973381e-05,0.785603909385677,0.0829070067178812
"TCGA.CC.A7IH.01A",0,0,0,0,0.0475925790341985,0.00309210785419599,0,0.949315313111606,0
"TCGA.FV.A3I0.01A",0,0,0.0304561556253553,0,0.113204371664095,0.120565341693245,0,0.00886780263023171,0.726906328387073
"TCGA.MI.A75H.01A",0,0,0,0,0.0595762314010835,0.00772814211725346,0,0.932695626481663,0
"TCGA.CC.A9FV.01A",0,0,0.102178355560847,0,0.487419021948749,0.237217783532235,0.00115491886315267,0.172029920095016,0
"TCGA.BC.A217.01A",0,0,0,0,0.0259501464443078,0.00135377960103161,1.48708229894305e-05,0.908676209273254,0.0640049938584174
