"","T Cells","Macrophages","NK","Cancer Cells","Endothelial Cells","Monocyte","B Cells","DC","Mast Cells","Fibroblasts"
"TCGA.2Z.A9JK.01A",0,0.025240088301574,0,0.541288090605734,0.19501020144676,0,0,0,0,0.238461619645932
"TCGA.BQ.5881.01A",0,0.219149933110036,0,0.680166612513489,0.0436213229241454,0,0,0,0,0.0570621314523299
"TCGA.5P.A9JU.01A",0,0.00474500656761483,0,0.831173872389692,0.0988987747235819,0,0,0,0,0.065182346319111
"TCGA.BQ.7056.01A",0,0.00115049305878227,0,0.71300123773773,0.124146752583513,0,0,0,0,0.161701516619975
"TCGA.HE.A5NJ.01A",0,0,0,0.534135062678597,0.244344224902507,0,0,0,0,0.221520712418896
"TCGA.Y8.A896.01A",0,0.146942600581347,0,0.483528366313909,0.17377608165751,0,0,0,0,0.195752951447234
"TCGA.B1.A656.01A",0,0.297805982248206,0,0.438464212590153,0.0570505198182297,0,0,0,0,0.206679285343411
"TCGA.AL.3468.01A",0,0,0,0.730747948561916,0.165311462762519,0,0,0,0,0.103940588675565
"TCGA.Y8.A898.01A",0,0.22587182458261,0,0.518524540950988,0.100106060920363,0,0,0,0,0.15549757354604
"TCGA.P4.A5E8.01A",0,0,0,0.68795100964769,0.151056139177388,0,0,0,0,0.160992851174923
"TCGA.AL.3471.01A",0,0,0,0.66418898173027,0.176740720667454,0,0,0,0,0.159070297602277
"TCGA.UZ.A9Q1.01A",0,0.00480899763898792,0,0.736986728361802,0.15219913398832,0,0,0,0,0.106005140010889
"TCGA.BQ.5892.01A",0,0.0197629697325311,0,0.559151902761188,0.212970376479756,0,0,0,0,0.208114751026526
"TCGA.UZ.A9PP.01A",0,0,0,0.607277260977328,0.206744773340306,0,0,0,0,0.185977965682366
"TCGA.SX.A7SU.01A",0,0.0144428000954094,0,0.556626439843536,0.22751604094377,0,0,0,0,0.201414719117285
"TCGA.SX.A7SN.01A",0,0.0722384215899382,0,0.609766837599989,0.176429994193633,0,0,0,0,0.14156474661644
